"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp"
64,664761,"Bohm, Alec",267,24,0.236,0.127,0.293,0.364,0.324,0.328,0.269,13,55,84.3,3.2,2255,89.8,90.57,5,47,17,0.7999999999999972,6.66,106,149,119,146,303,320,288,"-2.9","2.9"
64,521692,"Perez, Salvador",210,30.5,0.339,0.226,0.362,0.565,0.403,0.366,0.274,21,62,89.4,19.1,2426,86.2,86.78,11,62,2,0.5999999999999943,6.64,108,151,122,146,309,327,300,"-10.4","10.4"
64,663624,"Mountcastle, Ryan",238,26.9,0.291,0.2,0.304,0.491,0.368,0.39,0.287,16,55,90.8,9.7,2262,88.6,88.82,8,56,8,0.20000000000000284,6.47,107,151,120,146,308,325,294,"-4.7","4.7"
64,545361,"Trout, Mike",290,22.1,0.281,0.404,0.263,0.684,0.44,0.412,0.284,16,57,88.8,26.3,2306,89.9,90.22,11,55,9,0.29999999999999716,6.59,106,151,122,143,305,327,300,"-3.4","3.4"
64,641355,"Bellinger, Cody",216,29.6,0.172,0.121,0.178,0.293,0.239,0.262,0.18,10,58,88,20.7,2173,90.8,91.01,9,56,8,0.20000000000000284,6.46,119,145,127,152,293,322,303,"-0.7","0.7"
64,592206,"Castellanos, Nick",233,27.5,0.19,0,0.262,0.19,0.221,0.223,0.167,11,58,88.7,20.9,2291,88.3,88.78,12,54,10,0.5,6.57,106,150,119,145,301,319,289,"0.4","-0.4"
63,668939,"Rutschman, Adley",251,25.1,0.281,0.088,0.319,0.368,0.315,0.385,0.322,16,57,91.5,18.4,2138,88.4,88.69,10,58,5,0.29999999999999716,6.55,112,146,123,147,298,323,296,"0.6","-0.6"
63,608369,"Seager, Corey",217,29,0.304,0.089,0.364,0.393,0.352,0.339,0.282,17,56,88.8,15.5,2325,86.3,86.26,9,54,9,0,6.34,116,146,129,151,303,327,300,"-3","3"
63,547180,"Harper, Bryce",233,27,0.19,0.207,0.205,0.397,0.287,0.331,0.245,11,58,91.1,9.5,2240,88.1,88.6,15,57,6,0.5,6.55,117,144,126,149,295,323,301,"4.5","-4.5"
63,642715,"Adames, Willy",253,24.9,0.31,0.224,0.349,0.534,0.393,0.365,0.269,18,58,89.3,21.1,2337,89.6,89.89,10,56,7,0.30000000000001137,6.54,109,151,122,146,300,321,287,"-5.1","5.1"
63,670623,"Paredes, Isaac",274,23,0.255,0.291,0.243,0.545,0.379,0.26,0.177,14,55,87.3,25.3,2143,89.1,89.24,11,53,10,0.10000000000000853,6.48,108,151,122,145,300,330,297,"-3.2","3.2"
63,542303,"Ozuna, Marcell",251,25.1,0.373,0.407,0.366,0.78,0.507,0.479,0.354,22,59,92.6,12.4,2320,89.7,90.11,7,55,8,0.3999999999999915,6.62,111,152,123,148,305,325,295,"-13.1","13.1"
63,677594,"Rodríguez, Julio",243,25.9,0.186,0.017,0.289,0.203,0.209,0.291,0.251,11,59,91.2,7.9,2243,89.5,89.88,14,52,11,0.4000000000000057,6.56,106,152,119,146,301,321,292,"2.6","-2.6"
63,668709,"Bleday, JJ",236,26.7,0.262,0.131,0.326,0.393,0.299,0.249,0.218,16,61,85.4,15.5,2115,89.2,89.6,9,56,7,0.3999999999999915,6.59,112,145,122,150,292,323,299,"1.4","-1.4"
