Player,metwOBA
aaron judge,1.049137778603497
shohei ohtani,0.9727408027200724
munetaka murakami,0.9629388453627155
kyle schwarber,0.9110451321010132
giancarlo stanton,0.8692493988838279
kazuma okamoto,0.8500049000664539
cal raleigh,0.8396239757015455
shea langeliers,0.8189218133170937
byron buxton,0.8118771583148099
ben rice,0.8070260488214197
mickey moniak,0.7951865697467869
george springer,0.792573019868719
nick kurtz,0.790424693250332
jo adell,0.7873350208796931
junior caminero,0.7828541767940989
pete alonso,0.7781279787548725
hunter goodman,0.7742497075400862
colson montgomery,0.7613016175287561
matt olson,0.7586572520098859
juan soto,0.7578086412105363
riley greene,0.7570047989909189
sal stewart,0.7540358799981969
moisés ballesteros,0.7499435323939189
jahmai jones,0.745205443894301
yordan álvarez,0.738132324665027
eugenio suárez,0.7300087614287677
corbin carroll,0.7273814205347062
michael busch,0.7265828197555804
james wood,0.7251066505215884
daulton varsho,0.7175008287490735
kyle stowers,0.7174412539620664
seiya suzuki,0.7147312635203962
rowdy tellez,0.7145786597478051
bryce harper,0.7133560128216638
carlos cortes,0.7119601315657459
griffin conine,0.7098638979089066
ketel marte,0.7070375892248382
brandon lowe,0.7026327094689415
chase delauter,0.7008280085987884
joey wiemer,0.6966103706869937
gary sánchez,0.6965881662725972
samuel basallo,0.6913002325538267
ramón laureano,0.6865268482468988
salvador pérez,0.6832303113843132
julio rodríguez,0.6787923550338387
kerry carpenter,0.677125572880521
ronald acuña,0.6731285856950149
corey seager,0.6725235861845792
jonathan aranda,0.6715138673287603
jake bauers,0.6713398441830003
alex jackson,0.6709569250491249
mike trout,0.6668399491760683
dominic canzone,0.6661134782691005
drake baldwin,0.6653979255839068
addison barger,0.6632325643474284
wilyer abreu,0.6615831814413947
jazz chisholm,0.6571157448508937
colby thomas,0.6548823185279874
willson contreras,0.6529680037225528
vladimir guerrero,0.6513835507175868
jordan westburg,0.650367839003054
brent rooker,0.6502302301321782
jeremiah jackson,0.6496836852611715
teoscar hernández,0.6493237850622151
dalton rushing,0.649277482756374
matt wallner,0.6469018895970592
max muncy,0.6468378840250405
austin riley,0.6444224946960044
brice matthews,0.642120796118334
lenyn sosa,0.6406494356601732
pete crow-armstrong,0.6387147229085848
bobby witt,0.6336150794932586
zach neto,0.6333405550180389
rafael devers,0.6301989317981226
dillon dingler,0.6298889703187207
will benson,0.6283444156077495
iván herrera,0.6280380378497759
jake burger,0.6277697619758863
tyler soderstrom,0.6263703874899084
jorge soler,0.6258881179537058
miguel amaya,0.6239856730456084
amed rosario,0.6222250189274846
spencer torkelson,0.6206892632444664
gabriel moreno,0.6178408554589507
freddie freeman,0.6172079304631144
alec burleson,0.6167816283948447
ildemaro vargas,0.6115455078788997
christian walker,0.6100659070346067
oneil cruz,0.6096717360253593
jj bleday,0.6092152814003138
elly de la cruz,0.6084678259867242
mark vientos,0.6080277937819835
eli white,0.6078560571700989
josé ramírez,0.6067968787499878
austin wynns,0.6026476467730081
will smith,0.6024389050346765
taylor ward,0.6022280156078452
gavin sheets,0.6015938939792727
manny machado,0.6007865131037811
ian happ,0.5984010783999367
kyle manzardo,0.5955379640714509
casey schmitt,0.5954948322121898
vinnie pasquantino,0.5938085636850043
andy pages,0.5937010241021664
jackson chourio,0.5917574761583416
michael harris,0.5900387040727748
carter jensen,0.5900015073339688
brett baty,0.5890483101655885
christian yelich,0.5852015710348075
troy johnston,0.5835255732528428
francisco lindor,0.5820721705322484
noelvi marte,0.5820415834286811
konnor griffin,0.5812546739329258
jorge polanco,0.580817806823736
romy gonzalez,0.5799488842045114
rob refsnyder,0.5770998661991499
kody clemens,0.5760235065432902
josh bell,0.5747566254371979
francisco álvarez,0.574263987685336
jackson merrill,0.5735236566154603
sean murphy,0.5710779294183511
tyler o'neill,0.5695018293467365
randal grichuk,0.5694761990782489
andrew vaughn,0.5685727929669074
austin hays,0.5684800800820683
weston wilson,0.5650567080505429
tj rumfield,0.5641999076514816
yandy díaz,0.5626830748911642
luke raley,0.561887389481699
kyle tucker,0.5618518943048629
agustín ramírez,0.5607573580235277
dansby swanson,0.5606333957234417
andrew benintendi,0.5582170770808367
yainer diaz,0.5578339612276368
cj abrams,0.5568709841303109
edmundo sosa,0.5565155383240622
josh naylor,0.5538403479525018
christian encarnacion-strand,0.5524995959264132
wyatt langford,0.5521468148097745
dominic smith,0.5514202119355138
jesús sánchez,0.5502331338838867
christian moore,0.5491930670758548
daylen lile,0.5468135680520728
trent grisham,0.5464164422254273
adolis garcía,0.5460280961586985
coby mayo,0.5455803953630705
james outman,0.544081141278455
bo bichette,0.543637937562442
christopher morel,0.5411513765602278
willy adames,0.5411443432562228
otto kemp,0.5405004552760972
alejandro kirk,0.5400480753905914
luis garcía,0.5393961411139475
brandon marsh,0.5386365725231769
jeremy peña,0.5384249773725442
nathaniel lowe,0.5379968400857977
ryan mcmahon,0.5379113092402656
brooks baldwin,0.5368691605520042
jordan walker,0.5368269583543163
cody bellinger,0.5360717249391445
kyren paris,0.5358293098447751
gunnar henderson,0.5355248865431881
fernando tatís,0.5353014926341517
nolan gorman,0.5347145246111034
brice turang,0.5346241288650064
brandon nimmo,0.5342431836324198
adrian del castillo,0.533663066657603
tyler stephenson,0.5332966130880212
trevor story,0.5315437356015223
james mccann,0.5294951916981873
everson pereira,0.5293078315225499
kevin mcgonigle,0.528529980704198
paul goldschmidt,0.5281035344289904
matt mervis,0.5277838407721148
tristan gray,0.5275670405655396
austin wells,0.5259187836299388
bryan reynolds,0.5258636023330396
ryan o'hearn,0.5255388509135354
randy arozarena,0.5247795309318991
logan o'hoppe,0.5243071122535569
colton cowser,0.5240154495227257
roman anthony,0.5238410630226125
marcell ozuna,0.5224412977350701
gabriel arias,0.5209810155052897
miguel andújar,0.5204852901764557
carson kelly,0.5203956033386891
josh jung,0.5203771485288159
alex bregman,0.5198413262421926
jake fraley,0.5187398187818316
william contreras,0.5185973568114427
rhys hoskins,0.5184607942001341
spencer steer,0.5143358115884783
jj wetherholt,0.5142581605032519
carlos correa,0.5140495102979935
ty france,0.5135289540636435
cj kayfus,0.5124522607641838
michael toglia,0.5114795992732741
jhonkensy noel,0.5113219340585076
joey loperfido,0.510727630925052
enrique hernández,0.5106010689729494
lawrence butler,0.5105816478289696
ryan jeffers,0.5081581260933675
jarren duran,0.507402220626031
heliot ramos,0.5069905416189878
carson williams,0.5068665153814165
colt keith,0.5061781235427683
michael helman,0.5042802453379008
connor norby,0.5034708188851043
j. t. realmuto,0.5032856149224183
zach dezenzo,0.5027347022613688
jordan beck,0.5025770102542032
max kepler,0.5024778675707601
trevor larnach,0.5023877832847107
starling marte,0.5005190161876456
lourdes gurriel,0.5003890022165483
kyle teel,0.5001209109995464
carlos narváez,0.4988130747450011
geraldo perdomo,0.49827972499175416
kyle higashioka,0.49815764626903314
matt chapman,0.4979450903831581
yoán moncada,0.49793157327541115
pavin smith,0.49786031493679117
austin slater,0.4973742136982828
jurickson profar,0.4960029677258681
wenceel pérez,0.49517927016306607
ronny mauricio,0.49513148756411884
harrison bader,0.4939857788389788
jack suwinski,0.49239687684072486
spencer horwitz,0.49170340388809136
nathan church,0.49148281429415464
josé altuve,0.4912334503231236
luis robert,0.4903384508309036
daniel schneemann,0.489780929620415
nick castellanos,0.48951596829766125
jac caglianone,0.4890813084461749
ceddanne rafaela,0.48883370976737905
otto lopez,0.4869365689082652
dylan moore,0.4848300488434045
eric wagaman,0.48445206307310823
ezequiel tovar,0.48265901871895284
paul dejong,0.4818881084752303
brendan donovan,0.48027652936606774
david fry,0.4794228140680821
mike tauchman,0.47823587634917214
michael taylor,0.4781297418635656
maikel garcía,0.4765289200260195
javier báez,0.4757840068920487
dylan crews,0.47518068368476235
mookie betts,0.4734624486242691
adley rutschman,0.4728614730060095
reese mcguire,0.47240233906452794
bryson stott,0.4717376724095588
jasson domínguez,0.47169627976326045
isaac paredes,0.4707805868852711
nolan arenado,0.4699138527975137
michael conforto,0.46972411843436573
royce lewis,0.4675178075814831
tommy edman,0.46740937938428456
jonny deluca,0.46727967475238447
alexander canario,0.46683675547285014
brooks lee,0.46606667084441933
pedro pagés,0.4641467750450418
trea turner,0.46339336706270096
ozzie albies,0.46303214184335295
anthony volpe,0.46278099818348334
mike yastrzemski,0.4625535295681902
willi castro,0.46241141172966976
víctor caratini,0.4611983260407146
davis schneider,0.46076534930386953
gleyber torres,0.4606429830633054
alek thomas,0.4582203020908617
jackson holliday,0.4580315794332919
andruw monasterio,0.4577382673203064
andrew mccutchen,0.45748939805665156
josh lowe,0.45705709470944866
angel martínez,0.4564219298330092
luis matos,0.4545323903236106
j. c. escarra,0.4540076268183775
miguel rojas,0.45377292188683976
miguel vargas,0.45297049544138335
martín maldonado,0.45170078465532
hyeseong kim,0.45092131659839063
owen caissie,0.4508663514613185
marcelo mayer,0.4504964785706858
matt shaw,0.44799860190533647
heston kjerstad,0.4474106222685791
curtis mead,0.4466461810352558
heriberto hernandez,0.446476159484294
xander bogaerts,0.4462386538542742
cole young,0.44600068993303915
jacob wilson,0.4459567314058062
jordan lawlar,0.4458365840141821
brenton doyle,0.4435217160491984
bo naylor,0.4429503265216294
mitch garver,0.4424802069141811
jeff mcneil,0.43936966530977467
ryan mountcastle,0.439291970920245
tommy pham,0.4389134445268266
dylan beavers,0.4381422664601793
danny jansen,0.43490720506722536
yohel pozo,0.4341781067690262
jeimer candelario,0.4340760566983541
wilmer flores,0.43331939464904534
yanquiel fernández,0.4332940074594164
edouard julien,0.4317610036759608
abraham toro,0.43017361014333233
brady house,0.4298743168955275
leody taveras,0.4295907699665152
joc pederson,0.4290195899537607
masataka yoshida,0.42892242078707404
lars nootbaar,0.4288773803279321
matt mclain,0.4284845624438788
nolan schanuel,0.42835756065509567
ramón urías,0.4282637566968577
ernie clement,0.42802816175589714
nico hoerner,0.42784569062797717
triston casas,0.4275419141705134
jakob marsee,0.4236405821186178
liam hicks,0.4235440071611322
cam smith,0.42181566474054405
tim tawa,0.42151982893286877
warming bernabel,0.4209564453073937
carson benge,0.41946340876071436
ha-seong kim,0.4161487919564918
jung hoo lee,0.4157664158681516
riley adams,0.4152988054026085
kyle farmer,0.41499548181279494
jorge mateo,0.4140943194214481
sal frelick,0.4125256250003314
cody freeman,0.41199870647509385
nick gonzales,0.4118521116226907
zach mckinstry,0.4116112172242438
luke keaschall,0.4093653851517332
cedric mullins,0.40899557011534926
mj melendez,0.4086680504215292
nick fortes,0.4079224702394944
marcus semien,0.4075692463158211
braxton fulford,0.4068023353171673
jared triolo,0.4063162977931256
travis d'arnaud,0.4057322341427107
luis torrens,0.4056643127075848
